"","X","zipest","zipvar","linest","linvar","zip_ci_left","zip_ci_right","lin_ci_left","lin_ci_right","zip_ci_in","lin_ci_in"
"178",178,-0.415924066402872,0.00276220635438658,-0.395841260289692,0.0660701846992261,-0.518933298827134,-0.31291483397861,-0.899632778477257,0.107950257897873,TRUE,TRUE
"NA.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,-0.412094384844397,0.00170013324860147,-0.535368594745282,0.0600205276161918,-0.492908937149013,-0.331279832539781,-1.01554188141785,-0.0551953080727152,TRUE,TRUE
"54",54,-0.663494440084508,0.0184746706554279,-0.666016871035184,0.0226662713850027,-0.929895803723497,-0.39709307644552,-0.961095755647698,-0.37093798642267,FALSE,TRUE
"NA.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",196,-0.342639492062224,0.00736070053796696,-0.614213114591106,0.0347857504745719,-0.51079367133845,-0.174485312785998,-0.979764790821716,-0.248661438360496,TRUE,TRUE
"NA.91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,-0.527554479691077,0.00306327559705018,-0.491773540009507,0.127506700273903,-0.636032344080571,-0.419076615301583,-1.19163905456555,0.208091974546531,FALSE,TRUE
"84",84,-0.394113252272162,0.00196623159151388,-0.54321159565452,0.101361713876003,-0.481022386951714,-0.30720411759261,-1.16721227662342,0.0807890853143753,TRUE,TRUE
"NA.92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",143,-0.224178175112124,0.0659050171181586,-0.220839854581732,0.0692297745469804,-0.727339589905178,0.27898323968093,-0.736536788922206,0.294857079758742,TRUE,TRUE
"NA.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",241,-0.347124530525453,0.00269421402375146,-0.419720286594143,0.0178994004676572,-0.448858065932308,-0.245390995118598,-0.681941204546197,-0.157499368642088,TRUE,TRUE
"97",97,-0.601346805384808,0.0119210209746067,-0.693394019409388,0.0692541852107221,-0.815342392195804,-0.387351218573812,-1.20918186401966,-0.177606174799114,TRUE,TRUE
"193",194,-0.403608087968871,0.00220365451618134,-0.264033807003464,0.0171999372103215,-0.495614870756594,-0.311601305181148,-0.521080204589531,-0.00698740941739662,TRUE,TRUE
"NA.96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,-0.403762497578787,0.00384424943329674,-0.478208503580456,0.0510200760755853,-0.525284207139204,-0.282240788018371,-0.920917800154452,-0.0354992070064603,TRUE,TRUE
"NA.100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",195,-0.498417112185389,0.00401301145228982,-0.829459968248024,0.0605574079060606,-0.622577565796615,-0.374256658574164,-1.31177603553078,-0.347143900965263,TRUE,TRUE
"NA.103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.104",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",243,-0.352239324135857,0.00221115514427211,-0.434258774311439,0.0247338481928793,-0.444402556679466,-0.260076091592248,-0.742502280829007,-0.126015267793872,TRUE,TRUE
"NA.111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",169,-0.549974281077444,0.00416195567130165,-0.857645941564496,0.0645435521053634,-0.67641787057434,-0.423530691580547,-1.35558308373616,-0.359708799392838,FALSE,TRUE
"NA.114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",211,-0.478356584054453,0.00527736802674137,-0.416508663044724,0.05907471446211,-0.620739139012477,-0.335974029096428,-0.892883602509909,0.0598662764204618,TRUE,TRUE
"NA.116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",235,-0.29949580837174,0.0321571003222513,-0.338596304359392,0.0261799853152934,-0.650964408222221,0.0519727914787415,-0.655722991213521,-0.0214696175052638,TRUE,TRUE
"NA.118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",136,-0.636041683390071,0.00704027418285773,-0.279266262145959,0.0260151288586632,-0.800495091259424,-0.471588275520717,-0.595392892194118,0.0368603679022012,FALSE,TRUE
"23",23,-0.441184690536347,0.00930994480676603,-0.331024744384918,0.0779244796384532,-0.630297803773179,-0.252071577299515,-0.878147838080602,0.216098349310765,TRUE,TRUE
"NA.123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",218,-0.0318008521021234,0.0198025831157701,0.288129819929798,0.0862982779969292,-0.307610220294365,0.244008516090118,-0.287640343609455,0.86389998346905,FALSE,FALSE
"NA.126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",125,-0.504165292542703,0.00466102663994345,-0.343761210635041,0.0635837286828748,-0.637975388946155,-0.370355196139251,-0.837982087775466,0.150459666505385,TRUE,TRUE
"NA.134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.135",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.136",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",151,-0.418019505610434,0.00452586054649202,-0.179743296968816,0.0390671497559741,-0.549875134680843,-0.286163876540025,-0.567138246638355,0.207651652700724,TRUE,TRUE
"87",87,-0.416323298938278,0.00265841409772371,-0.597188192066658,0.0455813584714941,-0.517378671307878,-0.315267926568679,-1.01563641055915,-0.178739973574164,TRUE,TRUE
"NA.137",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.138",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
